YNG,246,24,5,90,56,71,20
JOR,230,36,37,47,83,27,10
THR,176,26,47,32,38,33,10
KHN,223,30,42,49,13,89,10
KHE,229,1,28,11,97,92,20
KHS,185,29,69,26,41,20,10
KHW,257,23,76,24,37,97,10
RAC,194,23,94,32,36,9,10
POD,242,68,60,30,77,7,10
LIB,318,86,69,86,41,36,10
BKS,228,40,1,60,85,42,10
AMC,155,5,27,24,50,49,20
YDI,277,59,7,90,88,33,10
TRS,166,32,21,8,65,40,10
CED,378,87,78,90,92,31,45
VIC,181,6,3,98,4,70,10
PRO,235,71,6,88,39,31,10
IMA,416,67,99,85,80,85,20
SBB,313,93,35,90,33,62,10
CPF,181,28,44,17,73,19,10
OKF,235,7,61,53,76,38,10
HEI,305,89,24,38,91,63,10
SCC,395,72,92,90,63,78,10
OAK,270,75,26,47,49,73,10
SID,313,52,48,91,51,71,10
ENG,375,45,98,100,67,65,10
RCC,207,30,40,38,98,1,10
ILC,183,34,96,28,7,18,20
PIT,140,27,8,4,95,6,10
MON,201,83,26,11,38,43,10
ARC,162,53,36,53,17,3,10
EPH,253,98,90,21,12,32,10
SHE,208,8,21,57,87,35,45
COP,138,8,22,34,26,48,10
GER,156,2,37,4,32,81,10
CUE,226,61,70,19,69,7,10
MAC,256,80,4,41,39,92,20
SLC,100,20,20,20,20,20,10
DCC,100,20,20,20,20,20,10
RIC,100,20,20,20,20,20,10
DSQ,100,20,20,20,20,20,10
PKG,100,20,20,20,20,20,20
